City,Temp,Feels_Like,Humidity,Wind_Speed,Condition,Timestamp
Delhi,26.05,26.05,61,2.06,Haze,2024-10-23 20:20:00
Mumbai,30.99,37.57,70,2.06,Haze,2024-10-23 20:21:58
Chennai,29.84,36.84,81,3.58,Mist,2024-10-23 20:19:37
Bangalore,21.89,22.46,89,2.81,Rain,2024-10-23 20:20:00
Kolkata,25.97,25.97,89,3.09,Haze,2024-10-23 20:25:52
Hyderabad,26.23,26.23,57,2.57,Haze,2024-10-23 20:25:35
Delhi,26.05,26.05,61,2.06,Haze,2024-10-23 20:20:00
Mumbai,30.99,37.57,70,2.06,Haze,2024-10-23 20:21:58
Chennai,29.84,36.84,81,3.58,Mist,2024-10-23 20:19:37
Bangalore,21.89,22.46,89,2.81,Rain,2024-10-23 20:20:00
Kolkata,25.97,25.97,89,3.09,Haze,2024-10-23 20:25:52
Hyderabad,26.23,26.23,57,2.57,Haze,2024-10-23 20:25:35
Delhi,26.05,26.05,61,2.06,Haze,2024-10-23 20:20:00
Mumbai,30.99,37.57,70,2.06,Haze,2024-10-23 20:21:58
Chennai,29.84,36.84,81,3.58,Mist,2024-10-23 20:19:37
Bangalore,21.89,22.46,89,2.81,Rain,2024-10-23 20:20:00
Kolkata,25.97,25.97,89,3.09,Haze,2024-10-23 20:25:52
Hyderabad,26.23,26.23,57,2.57,Haze,2024-10-23 20:25:35
Delhi,26.05,26.05,61,2.06,Haze,2024-10-23 20:20:00
Mumbai,30.99,37.57,70,2.06,Haze,2024-10-23 20:21:58
Chennai,29.84,36.84,81,3.58,Mist,2024-10-23 20:19:37
Bangalore,21.89,22.46,89,2.81,Rain,2024-10-23 20:20:00
Kolkata,25.97,25.97,89,3.09,Haze,2024-10-23 20:25:52
Hyderabad,26.23,26.23,57,2.57,Haze,2024-10-23 20:25:35
Delhi,26.05,26.05,61,2.06,Haze,2024-10-23 20:20:00
Mumbai,30.99,37.57,70,2.06,Haze,2024-10-23 20:21:58
Chennai,29.84,36.84,81,3.58,Mist,2024-10-23 20:19:37
Bangalore,21.89,22.46,89,2.81,Rain,2024-10-23 20:20:00
Kolkata,25.97,25.97,89,3.09,Haze,2024-10-23 20:25:52
Hyderabad,26.23,26.23,57,2.57,Haze,2024-10-23 20:25:35
Delhi,26.05,26.05,61,2.06,Haze,2024-10-23 20:20:00
Mumbai,30.99,37.57,70,2.06,Haze,2024-10-23 20:21:58
Chennai,29.84,36.84,81,3.58,Mist,2024-10-23 20:19:37
Bangalore,21.89,22.46,89,2.81,Rain,2024-10-23 20:20:00
Kolkata,25.97,25.97,89,3.09,Haze,2024-10-23 20:25:52
Hyderabad,26.23,26.23,57,2.57,Haze,2024-10-23 20:25:35
